ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,TITLE,Summer Job Status,Summer Employer,Summer Title,Summer Arrange,Summer USA,Summer State,Summer Country,Summer Pay,S-Resources_1,S-Resources_2,S-Resources_3,S-Resources_4,S-Resources_7,S-Resources_8,S-Resources_5,S-Resources_6,S-Resources_6_TEXT,S-Skills_1,S-Skills_3,S-Skills_4,S-Skills_5,S-Skills_6,S-Skills_12,S-Skills_7,S-Skills_8,S-Skills_11,S-Skills_9,Current Job Status,Current Employer,Current Title,Current Arrangement,Current Country USA,Current Country,Current State,Current Pay,Current Source_1,Current Source_2,Current Source_3,Current Source_4,Current Source_7,Current Source_8,Current Source_5,Current Source_6,Current Source_6_TEXT,FC-Skills_1,FC-Skills_3,FC-Skills_4,FC-Skills_5,FC-Skills_6,FC-Skills_12,FC-Skills_7,FC-Skills_8,FC-Skills_11,FC-Skills_9,ROY Plan_6,ROY Plan_7,ROY Plan_4,ROY Plan_8,ROY Plan_9,ROY Plan_10,ROY Plan_5,ROY Plan_5_TEXT,FULL_TIME_STATUS,FULL_TIME_COMPANY,FULL_TIME_TITLE,FULL_TIME_ARRANGE,FULL_TIME_STATE,FULL_TIME_SALARY,FULL_TIME_HELP,Grad Acceptance,Accepted Schools,Grad Want Help?,LocationLatitude,LocationLongitude,LocationAccuracy
R_31udEWYAzDpY10r,null,128.187.116.26,2023-09-27 10:03:21,2023-09-27 10:04:02,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_1gzGgwOldScUEJo,null,128.187.116.13,2023-09-27 10:03:23,2023-09-27 10:04:09,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,,,,,,,,,,,40.2584,-111.6591,-1
R_3exAmW33Yp5D7jT,null,128.187.116.15,2023-09-27 10:00:11,2023-09-27 10:04:35,,,,,1,0,1,Yes,Kinetic Vision and BYU Research & Reporting,Development Co-op and Data Scientist,Hybrid,Yes,Utah,,23,,,,,,,"Personal Network (Family, Friends, etc.)",Other,BYU job emails,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,Python,R,SQL,API,Yes,Kinetic Vision,Development Co-op,Remote,Yes,,Utah,23,,,,,,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,Python,R,SQL,API,,Secure a Full-time job offer for AFTER graduation,,Prepare for Graduate School,,,,,No,,,,,,Yes,No,,Yes,40.2584,-111.6591,-1
R_2RQFSFtz5wSDgqq,null,128.187.116.7,2023-09-27 10:03:17,2023-09-27 10:04:36,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_RR10HaDhIjNogQV,null,128.187.116.10,2023-09-27 10:03:41,2023-09-27 10:04:44,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,,,,,,,,,,,40.2584,-111.6591,-1
R_23UyYDFLfcn6nIe,null,128.187.116.13,2023-09-27 10:03:35,2023-09-27 10:04:48,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,No,,Yes,40.2584,-111.6591,-1
R_u83fztSJZ9D4QMx,null,128.187.116.3,2023-09-27 10:03:24,2023-09-27 10:04:55,,,,,1,0,1,Yes,KPMG,Tech Assurance Intern,Hybrid,Yes,Tennessee,,40,,,Career Services,,,Career Fair or Information Session,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_ywtrHS6ZTa2Lbnr,null,128.187.116.25,2023-09-27 10:03:37,2023-09-27 10:05:10,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,Become a TA/RA,,,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_3rS1XkoDRgTSelj,null,128.187.116.0,2023-09-27 10:03:34,2023-09-27 10:05:19,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Bacon, Inc",Data Analyst,In-Office,Yes,,Utah,27,,,,,,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Presenting,,,SQL,API,,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_3QK13eEuKLVNL8O,null,128.187.116.30,2023-09-27 10:03:22,2023-09-27 10:05:24,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepare for Graduate School,,,,,,,,,,,,No,,No,40.2584,-111.6591,-1
R_3oRgyzObCPWaMqu,null,128.187.116.15,2023-09-27 10:03:39,2023-09-27 10:06:30,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_3s5G59oNm2pzkid,null,128.187.116.20,2023-09-27 10:03:36,2023-09-27 10:11:00,,,,,1,0,1,Yes,Nate Sandholtz,Research Assistant,Remote,Yes,Utah,,14,,,,Department Resources,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.",,,,,,R,,,Yes,Nate Sandholtz,Research Assistant,Remote,Yes,,Utah,14,,,,Department Resources,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,,R,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_BJHIEO0Rw2DYohP,null,128.187.116.5,2023-09-27 09:04:41,2023-09-27 10:26:03,,,,,1,0,1,Yes,BYU Broadcasting,Lead Analyst/Jr. Data Scientist,Hybrid,Yes,Utah,,16.75,,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.","Model Deployment: Docker, Flask, AWS, etc.",Formal Presentation of work/results,Python,,SQL,,Yes,BYU Broadcasting,Lead Analyst/Jr. Data Scientist,Hybrid,Yes,,Utah,17.50,,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.","Model Deployment: Docker, Flask, AWS, etc.",Presenting,Python,,SQL,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,Become a TA/RA,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_2YDGnNU501FtuLn,null,128.187.116.27,2023-09-27 10:03:33,2023-09-27 11:00:23,,,,,1,0,1,Yes,Stats Department,Stat 121 TA,In-Office,Yes,Utah,,14,,,,Department Resources,,,"Personal Network (Family, Friends, etc.)",,,,,,,,,,,,,Yes,Stats Department,Stat 121 TA,In-Office,Yes,,Utah,14,,,,Department Resources,,,"Personal Network (Family, Friends, etc.)",,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,No,,,,,,No,No,,No,40.2584,-111.6591,-1
R_3K5TG9GsiX0GQVj,null,128.187.116.24,2023-09-27 11:04:38,2023-09-27 11:07:10,,,,,1,0,1,Yes,SCOR Life Reinsurance,Actuarial Intern,Hybrid,Yes,North Carolina,,25,LinkedIn,Handshake,,,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,,,SQL,,Yes,Brigham Young University,Teaching Assistant,In-Office,Yes,,Utah,14.25,,,,Department Resources,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,,R,,,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,Become a TA/RA,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,No,,,,40.2584,-111.6591,-1
R_2qjEEX4uDAlxMHe,null,128.187.116.19,2023-09-27 09:04:53,2023-09-27 13:54:30,,,,,1,0,1,Yes,Marketdial,Junior product developer,Hybrid,Yes,Utah,,20,,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Formal Presentation of work/results,Python,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,Become a TA/RA,,,,,,,,,,,,,,40.2584,-111.6591,-1
R_10VLPscJD27wfNt,null,128.187.116.26,2023-09-27 09:04:48,2023-09-27 15:27:18,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Fellingham,Research Assistant,Hybrid,Yes,,Utah,0,,,,Department Resources,,,,,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Presenting,,R,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,Become a TA/RA,,,,,,,,,,,,,,40.2584,-111.6591,-1
R_3ITeIgeLIbGwjol,null,128.187.116.25,2023-09-27 09:04:40,2023-09-28 12:50:25,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,BYU,TA (Stat 121),In-Office,Yes,,Utah,14,,,,Department Resources,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,,,,,,,,,,,40.2584,-111.6591,-1
R_DNOJ4mmOVQOFmaB,null,128.187.116.5,2023-09-28 13:10:14,2023-09-28 13:13:46,,,,,1,0,1,Yes,Master Control,Data Analytics Intern,Hybrid,Yes,Utah,,20,LinkedIn,,,,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Formal Presentation of work/results,Python,,SQL,,Yes,Master Control,Data Analytics Inter,Hybrid,Yes,,Utah,20,LinkedIn,,,,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Presenting,Python,,SQL,,,Secure a Full-time job offer for AFTER graduation,,,,,,,Offer(s) Pending,,,,,,Yes,,,,40.2584,-111.6591,-1
R_9oiNgedfgEvp3Al,null,128.187.116.25,2023-09-28 15:57:57,2023-09-28 15:59:06,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_Pzh3OIo178FbP57,null,128.187.116.9,2023-09-28 15:57:56,2023-09-28 15:59:39,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_VUp0TMjzpTy8IcF,null,128.187.116.11,2023-09-28 15:57:54,2023-09-28 16:00:49,,,,,1,0,1,Yes,Insight Enterprise,Sales Operations Analyst,Remote,Yes,Utah,,16,,,,,,Career Fair or Information Session,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,,,"Model Deployment: Docker, Flask, AWS, etc.",Formal Presentation of work/results,Python,,,API,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_x5CUPBjFRh194NH,null,128.187.116.10,2023-09-28 15:57:59,2023-09-28 16:00:49,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Harold B Lee Library,Computer Programmer,Hybrid,Yes,,Utah,19,,,Career Services,,,,,,,,,,,"Model Deployment: Docker, Flask, AWS, etc.",,Python,,,API,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_3ErFZXSWotHvTwA,null,128.187.116.15,2023-09-28 15:58:02,2023-09-28 16:01:15,,,,,1,0,1,Yes,Lucid Software,Software Engineer 2,Remote,Yes,Utah,,40,LinkedIn,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.",,,,,,,SQL,API,Yes,BYU,RA,Hybrid,Yes,,Utah,18,,,,,,,,Other,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,Python,R,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,,,,,,,,,,,40.2584,-111.6591,-1
R_2Bbt4YKu8CyDlEV,null,172.59.152.214,2023-09-28 16:00:03,2023-09-28 16:01:20,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,Yes,University of Oklahoma Masters in Applied Statistics,,40.6596,-111.9195,-1
R_1OTQ0QZ1oEwspVn,null,128.187.116.7,2023-09-28 15:58:20,2023-09-28 16:01:35,,,,,1,0,1,Yes,Northrop Grumman,Computer Systems Intern,In-Office,Yes,Utah,,22.5,,,,,,,"Personal Network (Family, Friends, etc.)",,,,,,,,,,,,,Yes,BYU,Research Assistant and Teaching Assistant,Hybrid,Yes,,Utah,14,,,Career Services,Department Resources,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.",,,,,Python,,,API,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_xfmj8cJPFkrX2yB,null,128.187.116.8,2023-09-28 15:58:12,2023-09-28 16:01:51,,,,,1,0,1,Yes,FamilySearch,Software Engineer Intern,Remote,Yes,Utah,,25,,Handshake,,,,Career Fair or Information Session,,,,,,,,"Model Deployment: Docker, Flask, AWS, etc.",Formal Presentation of work/results,,,,API,Yes,Familysearch,Student Software Engineer,Remote,Yes,,Utah,25,,,,,,,,Other,I just continued my internship,,,,,"Model Deployment: Docker, Flask, AWS, etc.",,,,SQL,API,,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_1pQfuPf49vAhm4d,null,128.187.116.10,2023-09-28 15:57:50,2023-09-28 16:02:24,,,,,1,0,1,Yes,"Dr, Egbert",Research Assistant,Hybrid,Yes,Utah,,16,,,,,,,"Personal Network (Family, Friends, etc.)",,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,Python,,,API,Yes,Dr. Egbert,Teaching Assistant,Hybrid,Yes,,Utah,17,,,,,,,"Personal Network (Family, Friends, etc.)",,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,Python,,,,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,No,,Yes,40.2584,-111.6591,-1
R_vuCB4MYtmzT2nSh,null,174.247.135.88,2023-09-28 15:57:57,2023-09-28 16:02:39,,,,,1,0,1,Yes,Fred Clift,Computer Security Development TA,Remote,Yes,Utah,,19.50,,,,,,,"Personal Network (Family, Friends, etc.)",,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Formal Presentation of work/results,,,,,Yes,Fred Clift,Computer Security TA,Hybrid,Yes,,Utah,20,,,,,,,"Personal Network (Family, Friends, etc.)",,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Presenting,,,,,,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.7143,-111.8894,-1
R_3szRUrFesqAc9lv,null,104.28.49.14,2023-09-28 16:00:15,2023-09-28 16:02:47,,,,,1,0,1,Yes,Kreatize,Data Analyst,In-Office,No,,Germany,0,,,,Department Resources,Campus Clubs or Groups,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,"Model Deployment: Docker, Flask, AWS, etc.",Formal Presentation of work/results,Python,,SQL,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,,,,40.759,-111.8876,-1
R_3fiBpgISEhTE9Bq,null,128.187.116.11,2023-09-28 15:58:03,2023-09-28 16:02:57,,,,,1,0,1,Yes,Robert Richardson and Alan Openshaw,Quality Assurance and Research Assistant,In-Office,Yes,Utah,,14,,,,,,,,Other,Professor and BYU student jobs,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,,R,,,Yes,Alan Openshaw,Quality Assurance,In-Office,Yes,,Utah,14,,,,,,,,Other,BYU student jobs,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_2wuXzm1wMzZO74L,null,172.58.60.121,2023-09-28 16:02:11,2023-09-28 16:03:01,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,,,,,,,,,,,,,,,,,,39.7435,-105.0619,-1
R_3PRy53GmYZvWLsv,null,128.187.116.6,2023-09-28 15:57:57,2023-09-28 16:03:09,,,,,1,0,1,Yes,Nancy Fulda,Research Assistant,Remote,Yes,Utah,,17,,,,Department Resources,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Formal Presentation of work/results,Python,,,,Yes,Nancy Fulda,Research Assistant,Hybrid,Yes,,Utah,17,,,,Department Resources,,,,,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,Python,,,,,,,Prepare for Graduate School,,,,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_1dA1OwLh3VL1hHi,null,128.187.116.30,2023-09-28 15:57:52,2023-09-28 16:03:19,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"BYU, Leigh Johnson",Undergraduate Research Assistant,Hybrid,Yes,,Utah,0,,,,,,,,Other,"Emailed the professor about the class, he offered me position","Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,Python,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_7QXfE3pgWogfvRD,null,128.187.116.12,2023-09-28 15:59:12,2023-09-28 16:03:38,,,,,1,0,1,Yes,BYU,Student Programmer,Hybrid,Yes,Utah,,17,,,,,,,,Other,On-campus job posting,,,,,,,,,,API,Yes,BYU,Student Programmer,Hybrid,Yes,,Utah,17,,,,,,,,Other,On-campus job posting,,,,,,,,,,API,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",Other (Please Specify),Start a successful startup,Offer(s) Pending,,,,,,Yes,,,,40.2584,-111.6591,-1
R_24hLK7iUfF56KWi,null,128.187.116.12,2023-09-28 15:58:05,2023-09-28 16:03:42,,,,,1,0,1,Yes,Jewelry Tv,Business Analyst Intern,Remote,Yes,Tennessee,,25,,,,Department Resources,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Formal Presentation of work/results,Python,R,SQL,,Yes,BYU Continuing Education,Research Assistant,In-Office,Yes,,Utah,20,,,,,,,,Other,BYU jobs,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Presenting,,R,,API,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_5oRu8nTqLIRi0uZ,null,128.187.116.31,2023-09-28 16:02:07,2023-09-28 16:04:05,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_eM72oDQNKlvxPqx,null,128.187.116.21,2023-09-28 16:00:49,2023-09-28 16:05:37,,,,,1,0,1,Yes,BYU Center for Teaching and Learning,Web Developer,In-Office,Yes,Utah,,16,,,,,,,,Other,BYU Job Postings,,,,,,,,,,,Yes,BYU Center for Teaching and Learning,Web Developer,In-Office,Yes,,Utah,17,,,,,,,,Other,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_SHRirgX5sMNgrkJ,null,128.187.116.23,2023-09-28 16:18:10,2023-09-28 16:21:27,,,,,1,0,1,Yes,Self Employed,Software Contractor,Remote,Yes,Utah,,20,,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.",,,,,,,,,Yes,BYU,TA,Hybrid,Yes,,Utah,20.50,,,,Department Resources,,,,,,,,,,,,Python,,,,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_3JFsKmEVNjNmvPh,null,128.187.3.3,2023-09-28 16:38:07,2023-09-28 16:39:02,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (Please Specify),na,,,,,,,,,,,40.2342,-111.6442,-1
R_2YGw78QNNafwRyu,null,128.187.116.21,2023-09-26 10:32:15,2023-09-26 10:32:40,,,,,0,0,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_AdRxyL7R4ooU2xX,null,128.187.116.1,2023-09-26 10:56:22,2023-09-26 10:57:25,,,,,0,0,1,Yes,The Jackson Laboratory for Genomic Medicine,Summer Student,In-Office,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
